sku,title,price,stock,current_photos,category
TGS-SQUISHY-OREO,Schylling NeeDoh Oreo Squishy – Switch & Swap Frosting,1550.00,23,box_front;product_front;product_with_box,resolved (brand_black.jpg wired in as CatalogHero; purple/pink filed as extra gallery images)
TGS-3D-PRINTING-PEN,3D Printing Pen with USB Charger and Filament,3800.00,9,box_back;box_front;product_open;product_with_box,reshoot
TGS-FOLLOW-ME-CAR,Magic Induction Follow Me Gesture Car – Pink,5850.00,3,box_front;product_open;product_with_box,reshoot
TGS-NOTEBOOK-PC,Angelo Notebook PC Educational Toy with Mouse,5500.00,3,box_front;product_with_box,reshoot
TGS-SPIDER-LAUNCHER,Spider Launcher Wrist Toy with Glove,2900.00,5,box_front;product_with_box,reshoot
TGS-ORANGE-MONSTER-TRUCK,Orange Die-Cast Metal Off-Road Monster Truck Toy,2850.00,5,box_front;product_with_box,reshoot
TGS-CARS-RC-RADIO,Cars RC Radio Control Car – Dinoco 51,4250.00,3,box_front;product_with_box,reshoot
TGS-MAG-BUILDING-BLOCKS,Magnetic Building Blocks Minecraft Theme Set,2350.00,5,box_front;product_angle;product_with_box,reshoot
TGS-VENDING,Vending Machine Toy with Sound Effects and Drink Dispenser,5800.00,2,box_back;box_front;product_open;product_with_box,reshoot
TGS-MINI-NUMBER-TRAIN,Digital Mini Train – Wooden Number Train 0 to 9,2150.00,5,box_back;box_front;product_with_box,reshoot
TGS-S-DIGITAL-CAMERA,Children's Digital Camera – Green,2600.00,4,box_back;box_front;product_with_box,reshoot
TGS-STICKY-DART-BOARD,Sticky Ball Dart Board – 72cm Fabric Target with Sticky Balls,2150.00,4,box_back;box_front;product_with_box,reshoot
TGS-THOMAS-FRIENDS-BUILDING,Thomas & Friends Orbit Building Blocks – 43 Pieces in a Backpack,4250.00,2,product_with_box,reshoot
TGS-HUANGER-PUZZLE-PHONE,Huanger Puzzle Phone – Dinosaur Baby Phone,1250.00,6,box_front;product_with_box,reshoot
TGS-AQUAFLOW-SWIM-CAP,Intex AquaFlow Swim Cap for Ages 8+,1340.00,5,box_front;product_angle;product_with_box,resolved (brand_worn.jpg wired in as Lifestyle; CatalogHero still needs an approved fal call like the rest of the catalog)
TGS-STACKED-CUP-BATTLE,"Prism Stacked Cup Battle Game – 12 Cups, Bell and Pattern Cards",2800.00,2,box_back;box_front;product_front;product_with_box,reshoot
TGS-TOY-STORY-FRICTION,Disney Pixar Toy Story Friction Car – Woody's Truck,1850.00,3,box_back;product_with_box,resolved (brand_car_two_views.jpg wired in as CatalogHero)
TGS-MAGIC-WAND-CROWN,Magic Wand Crown Tiara with Light and Sound,2500.00,2,box_front;product_with_box,reshoot
TGS-MAG-WORLD,Magnetic World Scene Series X Captive Cute Pet Building Set,2450.00,2,box_back;box_front;product_open;product_with_box,reshoot
TGS-IRON-APPLIANCE,Playroom Toy Iron Appliance for Pretend Play,1250.00,3,box_front;product_with_box,reshoot
TGS-CHOCOLATE-BAR-SQUISHY,Chocolate Bar Squishy Toy – Kinder Maxi or Snickers,1850.00,8,product_front,skip (case is the product)
TGS-SQUISHY-CAPSULE-BALL,Capsule Squishy Ball,1950.00,5,product_with_box,skip (case is the product)
TGS-TRUCKS,Miniature Transport Truck in a Display Case,1150.00,7,product_angle;product_with_box,skip (case is the product)
TGS-SQUISHY-PASTEL-STICKS,Crackle Fluff Crispy Crunch Squishy Sticks,1850.00,4,product_front;product_with_box,skip (case is the product)
TGS-SQUISHY-MOCHI,Mochi Squishy in Clear Case,1850.00,3,product_front;product_with_box,skip (case is the product)
TGS-SWIMMING-GOGGLES,ZOTO Brand Swimming Goggles in Clear Case,1450.00,3,product_open;product_with_box,skip (case is the product)
